title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine in,Outdoor Seating
Hank's Juicy Beef,-74.0072147,40.7143487,true,4.5,,Sandwich shop,TRUE,
Hearth on the High Line,-74.0074345,40.7428831,true,4,,Wine bar,TRUE,
Jim Brady's,-74.0075839,40.7076363,true,4.3,,Irish pub,TRUE,
Blue Ribbon Federal Grill,-74.0077109,40.7079853,true,4.4,,American restaurant,TRUE,
Financier Patisserie,-74.0083769,40.7074215,true,4.1,,Patisserie,TRUE,
B & Co,-74.008532,40.712796,true,3.6,,Sandwich shop,TRUE,
&pizza - Wall Street,-74.0085474,40.7057647,true,4.6,,Pizza restaurant,TRUE,
Little Park,-74.009131,40.7152206,true,4.4,,American restaurant,TRUE,
Schnippers,-74.0092143,40.7136214,true,4.2,,Fast food restaurant,TRUE,
Il Mulino New York - Tribeca,-74.010062,40.719033,true,4.2,,Italian restaurant,TRUE,
Church & Dey,-74.0103057,40.7111618,true,3.8,,Bar,TRUE,
Reverendo Taco & Tequila Bar,-74.0103936,40.704461,true,4.1,,Restaurant,TRUE,
Bluestone Lane Coffee Shop - Financial District,-74.0116277,40.7062784,true,4.4,,Coffee shop,TRUE,
Cappone’s Salumeria,-74.0118801,40.7020841,true,4.1,,Italian restaurant,TRUE,
Chopt Creative Salad Co.,-74.0118801,40.7020841,true,4,,Salad shop,TRUE,
Blarney Stone,-74.0138025,40.7063433,true,3.9,,Gastropub,TRUE,
Parm,-74.0161101,40.7144287,true,4,,Italian restaurant,TRUE,
Sylvia's,-73.944479,40.8086445,false,4.3,,Soul food restaurant,TRUE,TRUE
La Fonda Boricua,-73.945,40.7919444,false,4.3,,Puerto Rican restaurant,TRUE,
Chez Nick,-73.9452127,40.7790105,false,4.8,,New American restaurant,TRUE,TRUE
El Nuevo Carribe?o,-73.9465809,40.791605,false,4.2,,Restaurant,TRUE,
Joy Burger Bar,-73.9488295,40.7884986,false,4.1,,Hamburger restaurant,TRUE,
Teranga,-73.9493657,40.7963809,false,4.8,,West African restaurant,TRUE,
Dorrian's Red Hand (NYC),-73.9525693,40.7763934,false,4,,Traditional American restaurant,TRUE,
Sandro's,-73.9536763,40.7743295,false,4.8,,Italian restaurant,TRUE,
Chocolat Restaurant & Bar,-73.9538378,40.8069848,false,3.9,,American restaurant,TRUE,
Nino's Restaurant,-73.9552079,40.7680725,false,4.2,,Italian restaurant,TRUE,
Gertie,-73.9555496,40.7124594,false,4.5,,American restaurant,TRUE,TRUE
Boqueria,-73.956073,40.7715096,false,4.5,,Tapas restaurant,TRUE,TRUE
Joe Coffee Company,-73.9620101,40.8100333,false,4.2,,Coffee shop,TRUE,
Best Pizza,-73.9629223,40.7579559,false,3.9,,Pizza restaurant,TRUE,
Sant Ambroeus,-73.9629886,40.7754159,false,4.4,,Italian restaurant,TRUE,
Bareburger,-73.9661413,40.7943486,false,4.2,,Restaurant,TRUE,
Souvlaki GR Kouzina,-73.9680576,40.7572778,false,4.6,,Fast food restaurant,TRUE,
Hillstone,-73.9692211,40.7582871,false,4.6,,American restaurant,TRUE,
Serafina Always,-73.9698085,40.7647562,false,4.3,,Italian restaurant,TRUE,TRUE
Nello,-73.9700702,40.7657971,false,3.6,,Italian restaurant,TRUE,TRUE
Blossom on Columbus,-73.9727362,40.7853847,false,4.4,,Takeout restaurant,TRUE,
sweetgreen,-73.9727699,40.7605465,false,4.2,,Health food restaurant,TRUE,
Nerai,-73.9730857,40.7602436,false,4.6,,Greek restaurant,TRUE,TRUE
The Little Beet,-73.974309,40.7577861,false,4.4,,Restaurant,TRUE,
Valbella Midtown,-73.9752808,40.7599767,false,4.4,,Italian restaurant,TRUE,
Sarabeth's,-73.9757026,40.7651362,false,4.1,,American restaurant,TRUE,TRUE
Red Peony,-73.9759156,40.7627581,false,4.6,,Shanghainese restaurant,TRUE,
Certé,-73.9761684,40.7619634,false,4.5,,Caterer,TRUE,
Nobu,-73.9762452,40.763705,false,4.4,,Restaurant,TRUE,
Il Gattopardo,-73.9763707,40.761674,false,4.5,,Southern Italian restaurant,TRUE,TRUE
Osteria del Bianco,-73.9766439,40.7572241,false,4.9,,Restaurant,TRUE,
sweetgreen,-73.9766583,40.754647,false,4.2,,Health food restaurant,TRUE,
Potbelly Sandwich Shop,-73.9767235,40.7631008,false,4.4,,Sandwich shop,TRUE,
Hatsuhana Sushi Restaurant,-73.9769152,40.757016,false,4.5,,Sushi restaurant,TRUE,
Menkui-Tei,-73.9771711,40.7633128,false,4.3,,Japanese restaurant,TRUE,
Ammos Estiatorio,-73.9772283,40.7543508,false,4.1,,Mediterranean restaurant,TRUE,
Haru Sushi,-73.9772897,40.7842299,false,4.3,,Japanese restaurant,TRUE,TRUE
Bice Cucina,-73.9773669,40.7625152,false,4.4,,Italian restaurant,TRUE,
TGI Fridays,-73.9780437,40.7577252,false,3,,Restaurant,TRUE,
Indian Accent,-73.9788444,40.7642889,false,4.5,,Indian restaurant,TRUE,
Jing Fong,-73.978963,40.7827671,false,4.2,,Chinese restaurant,TRUE,TRUE
sweetgreen,-73.979061,40.759003,false,2,,Health food restaurant,TRUE,
Casa Barilla,-73.9791037,40.7608867,false,4.2,,Italian restaurant,TRUE,
Quality Bistro,-73.979167,40.7632028,false,4.6,,Restaurant,TRUE,TRUE
Milos Cafe,-73.9792004,40.7647105,false,4.3,,Cafe,TRUE,
9Ten,-73.9799062,40.7660326,false,4.4,,American restaurant,TRUE,
Souvlaki GR,-73.9801477,40.7645929,false,4.4,,Greek restaurant,TRUE,
Mastro's Steakhouse,-73.9801635,40.7611039,false,4.6,,Fine dining restaurant,TRUE,
Antalia NYC Restaurant/Caterer,-73.980329,40.7559694,false,4.2,,Turkish restaurant,TRUE,
Serafina 77th Upper West,-73.9803859,40.7821594,false,3.7,,Italian restaurant,TRUE,TRUE
Ocean Prime,-73.9805565,40.7617438,false,4.6,,Seafood restaurant,TRUE,
CAVA,-73.9805624,40.7515661,false,4.6,,Mediterranean restaurant,TRUE,
Zuma,-73.9807471,40.7504559,false,4.5,,Japanese restaurant,TRUE,
Subway,-73.9808247,40.7566784,false,3,,Sandwich shop,TRUE,
Balade Your Way,-73.9808681,40.7523419,false,4.6,,Mediterranean restaurant,TRUE,
Faces and Names,-73.9809248,40.7635888,false,4.3,,Lounge,TRUE,
Tisserie,-73.9810736,40.7644663,false,4.4,,Bakery,TRUE,
The Capital Grille,-73.9812268,40.7607952,false,4.5,,Fine dining restaurant,TRUE,
Broadway Bar,-73.9812435,40.7662427,false,4.5,,Tapas restaurant,TRUE,
Shoe Bar,-73.9812435,40.7662427,false,4.5,,Tapas restaurant,TRUE,
The Morgan Dining Room,-73.9815265,40.7492094,false,4.5,,American restaurant,TRUE,
Jean-Georges,-73.9815796,40.7690576,false,4.5,,Haute French restaurant,TRUE,
Nougatine at Jean-Georges,-73.9816255,40.7690255,false,4.3,,French restaurant,TRUE,TRUE
Sen Sakana,-73.981642,40.7551651,false,4.5,,Japanese restaurant,TRUE,
Le Bernardin,-73.981864,40.761538,false,4.7,,Seafood restaurant,TRUE,
PHD Terrace at Dream Midtown,-73.9819377,40.764429,false,4,,Lounge,TRUE,TRUE
Serafina Broadway,-73.9819469,40.7644023,false,4.1,,Italian restaurant,TRUE,TRUE
Robert,-73.9819871,40.767438,false,4.5,,New American restaurant,TRUE,
Del Frisco's Double Eagle Steakhouse,-73.98222,40.7594099,false,4.6,,Steak house,TRUE,
sweetgreen,-73.9822359,40.7463073,false,2.7,,Health food restaurant,TRUE,
Oceana,-73.9823074,40.7597641,false,4.5,,Seafood restaurant,TRUE,
Gabriel Kreuther,-73.9824486,40.7545445,false,4.6,,Restaurant,TRUE,
Applejack Diner,-73.9824801,40.7646749,false,3.9,,Diner,TRUE,
The Little Beet,-73.9824804,40.7608703,false,4.3,,Restaurant,TRUE,
Porter House Bar and Grill,-73.98263,40.768882,false,4.4,,Steak house,TRUE,
STK Steakhouse Midtown NYC,-73.9828494,40.7546664,false,4.2,,Steak house,TRUE,TRUE
Per Se,-73.9829029,40.7682407,false,4.6,,French restaurant,TRUE,
Bryant Park Grill,-73.982957,40.7531999,false,4.3,,American restaurant,TRUE,TRUE
Joe G,-73.983001,40.765643,false,4.5,,Italian restaurant,TRUE,
Masa,-73.9830458,40.7685299,false,3.9,,Japanese restaurant,TRUE,
The Three Monkeys,-73.9830808,40.7641499,false,4.3,,Beer hall,TRUE,
sweetgreen,-73.9831017,40.7546399,false,4,,Health food restaurant,TRUE,
Checkers,-73.9831138,40.7310058,false,3.9,,Fast food restaurant,TRUE,
Empire Steak House,-73.9831208,40.7644256,false,4.2,,Steak house,TRUE,TRUE
Yakitori Totto,-73.9831789,40.7652865,false,4.3,,Japanese restaurant,TRUE,
Genji Izakaya,-73.9831866,40.7685526,false,3.8,,Sushi restaurant,TRUE,
Iguana New York,-73.9832269,40.7642491,false,4,,Tex-Mex restaurant,TRUE,
Nocello,-73.9833348,40.7653845,false,4.6,,Northern Italian restaurant,TRUE,
Ellen's Stardust Diner,-73.9834356,40.7618723,false,4.4,,Diner,TRUE,
Royal 35 Steakhouse,-73.9835037,40.7489998,false,4.7,,Steak house,TRUE,
Hanoi House,-73.9835497,40.7270085,false,4.6,,Vietnamese restaurant,TRUE,
Connolly's Pub & Restaurant,-73.9835798,40.7573681,false,4.4,,Irish restaurant,TRUE,
S'MAC East Village,-73.983724,40.730212,false,4.4,,American restaurant,TRUE,
Dunkin',-73.9837644,40.7595225,false,4,,Coffee shop,TRUE,
Koi New York,-73.9837762,40.7528962,false,4.4,,Sushi restaurant,TRUE,
Ai Fiori,-73.9837835,40.7500752,false,4.4,,Italian restaurant,TRUE,
Clinton St. Baking Company,-73.9838497,40.721264,false,4.4,,American restaurant,TRUE,
ABA Turkish Restaurant,-73.9839497,40.7674443,false,4.4,,Turkish restaurant,TRUE,TRUE
TGI Fridays,-73.9839612,40.7583559,false,3.1,,Restaurant,TRUE,
Margon,-73.9839619,40.7579064,false,4.6,,Cuban restaurant,TRUE,
Colbeh,-73.9840251,40.7520636,false,3.8,,Mediterranean restaurant,TRUE,
Wafels & Dinges,-73.9840658,40.7545415,false,4.3,,Dessert shop,TRUE,
Havana Central Times Square,-73.9841591,40.7583364,false,4.4,,Cuban restaurant,TRUE,
Playwright,-73.9841667,40.7605556,false,4.1,,Irish pub,TRUE,
Smile To Go,-73.9842087,40.7400292,false,3.9,,Cafe,TRUE,TRUE
Momofuku Noodle Bar,-73.984415,40.7292083,false,4.5,,American restaurant,TRUE,
Dons Bogam & Wine Bar (Original),-73.9844803,40.7468094,false,4.4,,Korean barbecue restaurant,TRUE,
Olive Garden Italian Restaurant,-73.9847419,40.7595183,false,4.2,,Italian restaurant,TRUE,
Take 31,-73.9848246,40.7462777,false,4.5,,Korean restaurant,TRUE,
Upland,-73.984885,40.741693,false,4.5,,Californian restaurant,TRUE,
Pick A Bagel,-73.9849259,40.7644594,false,4.2,,Bagel shop,TRUE,
Bonchon 32nd st,-73.98498,40.74753,false,4.2,,Asian fusion restaurant,TRUE,
Speedy Romeo,-73.9850567,40.7194737,false,4.4,,Pizza restaurant,TRUE,
Parker & Quinn,-73.9850713,40.7525862,false,4.4,,Restaurant,TRUE,
L’Adresse,-73.9851086,40.7538101,false,4.4,,New American restaurant,TRUE,
Virgil's Real BBQ - Times Square,-73.9851283,40.7567841,false,4.3,,Barbecue restaurant,TRUE,
Natsumi,-73.9851809,40.7616634,false,4.3,,Sushi restaurant,TRUE,
Buca di Beppo Italian Restaurant,-73.9852157,40.7579198,false,3.9,,Italian restaurant,TRUE,
Havana NY,-73.985247,40.751786,false,4.4,,Cuban restaurant,TRUE,
Ernesto's,-73.9854371,40.7142731,false,4.5,,Basque restaurant,TRUE,TRUE
CAVA,-73.9855104,40.7408422,false,4.4,,Mediterranean restaurant,TRUE,
IHOP,-73.985535,40.7328839,false,4,,Restaurant,TRUE,
Trademark Taste + Grind,-73.9855566,40.7503234,false,4.4,,Restaurant,TRUE,
Scarpetta,-73.9856202,40.7445818,false,4.4,,Italian restaurant,TRUE,TRUE
Momofuku 207,-73.9857118,40.731665,false,4.5,,American restaurant,TRUE,
Smashburger,-73.9858092,40.7479226,false,4.2,,Hamburger restaurant,TRUE,
Barn Joo 35,-73.9858123,40.7496521,false,4.4,,Korean restaurant,TRUE,
Morning Star Restaurant,-73.9858178,40.7682107,false,4,,Diner,TRUE,
Croton Reservoir Tavern,-73.9858266,40.7536651,false,4.1,,Bar,TRUE,
Maialino,-73.9859278,40.7385306,false,4.5,,Italian restaurant,TRUE,
Just Salad,-73.9859288,40.7405902,false,4.2,,Restaurant,TRUE,
Konbini,-73.9859718,40.7470502,false,4.1,,Japanese restaurant,TRUE,
Ootoya - Times Square,-73.9859778,40.7549444,false,4.4,,Authentic Japanese restaurant,TRUE,
Moe's Southwest Grill,-73.986,40.752723,false,4.2,,,TRUE,
Chick-fil-A,-73.9860817,40.7517232,false,4.4,,Fast food restaurant,TRUE,
Cloud Social Rooftop Bar,-73.9863253,40.747317,false,4.1,,Bar,TRUE,TRUE
Bubba Gump Shrimp Co.,-73.9863737,40.7572071,false,4.3,,Seafood restaurant,TRUE,
Gabby O'Haras,-73.9863984,40.7535778,false,4.3,,Irish pub,TRUE,
Main Noodle House,-73.9864314,40.7521738,false,4.5,,Chinese restaurant,TRUE,
Keens Steakhouse,-73.9864611,40.7507861,false,4.6,,Steak house,TRUE,
Kindred,-73.9866645,40.7264815,false,4.7,,Restaurant,TRUE,
Verōnika,-73.9867219,40.7392209,false,4.6,,Swedish restaurant,TRUE,
Trattoria Trecolori,-73.9867421,40.7599972,false,4.4,,Italian restaurant,TRUE,
Awash,-73.986862,40.726527,false,4.4,,Ethiopian restaurant,TRUE,
Friend Of A Farmer,-73.9868623,40.7368776,false,4.3,,American restaurant,TRUE,TRUE
Jongro BBQ,-73.9869183,40.7475342,false,4.5,,Korean barbecue restaurant,TRUE,
Subway,-73.9869302,40.7488386,false,3.8,,Sandwich shop,TRUE,
Benno Restaurant,-73.9869744,40.7439469,false,4.9,,Restaurant,TRUE,
Veselka,-73.9871139,40.7290155,false,4.5,,Ukrainian restaurant,TRUE,TRUE
Casa Mono,-73.9871361,40.7358936,false,4.4,,Spanish restaurant,TRUE,
sweetgreen,-73.9871413,40.7525018,false,4.1,,Health food restaurant,TRUE,
Ruby Tuesday,-73.987147,40.755482,false,3.9,,American restaurant,TRUE,
Just Salad,-73.9871781,40.762156,false,3.9,,Restaurant,TRUE,
Eleven Madison Park,-73.9872353,40.7416519,false,4.6,,Fine dining restaurant,TRUE,
Spicy Moon Vegetarian Szechuan,-73.9872499,40.7266901,false,4.7,,Vegan restaurant,TRUE,
Haru Sushi,-73.987272,40.7571646,false,4.2,,Japanese restaurant,TRUE,
'Wichcraft - Garment District,-73.9874982,40.7531435,false,4.1,,Sandwich shop,TRUE,
CAVA,-73.9876742,40.7528718,false,4.5,,Mediterranean restaurant,TRUE,
Yama,-73.9877047,40.7358696,false,4.4,,Japanese restaurant,TRUE,
Great Wall,-73.9877128,40.7165044,false,3.6,,Chinese restaurant,TRUE,
Verlaine,-73.987785,40.720079,false,4.4,,Lounge,TRUE,
Union Square Cafe,-73.9878767,40.7377702,false,4.6,,American restaurant,TRUE,
Oceans,-73.9879206,40.7374674,false,4.7,,Seafood restaurant,TRUE,
Shake Shack,-73.9879468,40.7513684,false,4.5,,Hamburger restaurant,TRUE,
Ariana,-73.988008,40.7650997,false,4.4,,Afghani restaurant,TRUE,
Barbounia,-73.9880646,40.7383263,false,4.4,,Mediterranean restaurant,TRUE,
230 Fifth Rooftop Bar,-73.9880767,40.744002,false,4.3,,Bar,TRUE,TRUE
The Breslin,-73.988089,40.745568,false,4.3,,British restaurant,TRUE,
Mr. Purple,-73.988103,40.721741,false,4.2,,Bar,TRUE,TRUE
Chopt Creative Salad Co.,-73.9881842,40.7407837,false,4.1,,Takeout Restaurant,TRUE,
Boucherie Union Square,-73.9882246,40.7372552,false,4.6,,French restaurant,TRUE,
Setagaya,-73.9882464,40.7287148,false,4.1,,Ramen restaurant,TRUE,
Dig,-73.9883108,40.7407465,false,4.5,,American restaurant,TRUE,
Russ & Daughters,-73.9883134,40.7225803,false,4.7,,Bagel shop,TRUE,
Cosme,-73.9883564,40.7395952,false,4.3,,Restaurant,TRUE,
Blue Ribbon Sushi Izakaya,-73.9884005,40.7221514,false,4.4,,Sushi restaurant,TRUE,
375° Chicken 'n Fries,-73.988452,40.719695,false,4.2,,Fast food restaurant,TRUE,
Empanada Mama,-73.9885233,40.7644371,false,4.4,,Latin American restaurant,TRUE,
Kaikagetsu NYC,-73.9885354,40.7210416,false,4.4,,Japanese restaurant,TRUE,
Aqua Boil,-73.9885489,40.7637639,false,4.6,,Seafood restaurant,TRUE,
The Smith,-73.9885813,40.7310104,false,4.4,,American restaurant,TRUE,
MomenTea Kitchen - Time Square,-73.9885949,40.7551801,false,4.7,,Restaurant,TRUE,
The NoMad Restaurant,-73.988622,40.7448942,false,4.7,,New American restaurant,TRUE,
Local 92,-73.9886351,40.7269981,false,4.4,,Mediterranean restaurant,TRUE,TRUE
sweetgreen,-73.9886378,40.7448032,false,4.3,,Health food restaurant,TRUE,
Bareburger Lower East Side,-73.988649,40.721629,false,4.2,,Restaurant,TRUE,
The Smith,-73.9886901,40.7442774,false,4.4,,American restaurant,TRUE,
Frank,-73.9886954,40.7268777,false,4.4,,Restaurant,TRUE,TRUE
wagamama,-73.9887037,40.743366,false,4.2,,Asian restaurant,TRUE,
Craftbar,-73.9887274,40.7381202,false,4.1,,Restaurant,TRUE,
The Kitchen Sink,-73.9887556,40.7268194,false,3.9,,Diner,TRUE,
Applebee's Grill + Bar,-73.9887869,40.756635,false,3.7,,Restaurant,TRUE,
Nomad,-73.98892,40.72633,false,4.4,,Moroccan restaurant,TRUE,TRUE
Nathan's Famous,-73.9889633,40.7589021,false,2.9,,Hot dog restaurant,TRUE,
Zen Ramen & Sushi ( NYC West 36 St),-73.9889763,40.7517636,false,4.4,,Ramen restaurant,TRUE,
Rezd?ra,-73.989044,40.739083,false,4.6,,Northern Italian restaurant,TRUE,
Obicà Mozzarella Bar - Flatiron,-73.9891684,40.7400029,false,4.2,,Italian restaurant,TRUE,TRUE
Shake Shack,-73.9892194,40.7584328,false,4.4,,Hamburger restaurant,TRUE,
Sauce,-73.9893263,40.7204716,false,4.4,,Restaurant,TRUE,TRUE
Tsismis NYC,-73.9893269,40.7201117,false,4.3,,Filipino restaurant,TRUE,
The DL,-73.989333,40.718558,false,3.9,,New American restaurant,TRUE,TRUE
Carragher's,-73.9894444,40.7544444,false,4.4,,Sports bar,TRUE,
Out Cheese Steak,-73.9894505,40.7624711,false,4.1,,Latin American restaurant,TRUE,
Panera Bread,-73.9894768,40.7350596,false,4,,Cafe,TRUE,
Cathédrale Restaurant,-73.9894792,40.7316163,false,4.4,,French restaurant,TRUE,
DIA,-73.9895251,40.7257148,false,4.5,,Italian restaurant,TRUE,TRUE
Taco Bell Cantina,-73.9895821,40.7552667,false,4.6,,Fast food restaurant,TRUE,
CAVA,-73.9896079,40.7337898,false,4.6,,Mediterranean restaurant,TRUE,
ABC Kitchen,-73.9896167,40.737775,false,4.5,,Organic restaurant,TRUE,
Ferris,-73.9896583,40.7462639,false,4.4,,New American restaurant,TRUE,
The Cellar,-73.9896947,40.7389768,false,4.4,,American restaurant,TRUE,
Erin McKenna's Bakery NYC,-73.9897133,40.7180599,false,4.4,,Bakery,TRUE,
Shake Shack,-73.9897628,40.7301031,false,4.4,,Hamburger restaurant,TRUE,
Ms. Yoo,-73.989768,40.721209,false,4.4,,Gastropub,TRUE,
Fools Gold NYC,-73.989794,40.723028,false,4.5,,Cocktail bar,TRUE,
VIV,-73.989807,40.762826,false,4.5,,Thai restaurant,TRUE,
Becco,-73.9898324,40.760804,false,4.4,,Italian restaurant,TRUE,
Schnipper's,-73.9898495,40.7559892,false,4.2,,Hamburger restaurant,TRUE,TRUE
L'Amico,-73.9899532,40.7471585,false,4.2,,Italian restaurant,TRUE,TRUE
Spaghetti Incident,-73.9899587,40.722402,false,4.5,,Italian restaurant,TRUE,
UT47 Manhattan,-73.9899748,40.7613127,false,4.5,,Breakfast restaurant,TRUE,TRUE
Subway,-73.9899996,40.7172104,false,3.4,,Sandwich shop,TRUE,
Boqueria,-73.9900314,40.7554321,false,4.3,,Tapas restaurant,TRUE,TRUE
Taste Good,-73.9900501,40.743256,false,3.4,,Chinese restaurant,TRUE,
Castell Rooftop Lounge,-73.9900952,40.7554006,false,4.4,,Bar,TRUE,TRUE
Bowery Road,-73.9901732,40.7333186,false,4.4,,American restaurant,TRUE,TRUE
Zoralie,-73.9902028,40.7650349,false,4.5,,Dominican restaurant,TRUE,TRUE
Hale and Hearty,-73.990228,40.751897,false,4.3,,Soup shop,TRUE,
Whipped Urban Dessert Lab,-73.9902862,40.7184812,false,5,,Ice cream shop,TRUE,
Ippudo NY,-73.990287,40.730948,false,4.5,,Ramen restaurant,TRUE,
Bareburger,-73.9903256,40.7606122,false,4.5,,Hamburger restaurant,TRUE,
Hourglass Tavern,-73.9903468,40.7609425,false,4.4,,American restaurant,TRUE,
Chopt Creative Salad Co.,-73.9904104,40.7303409,false,4.1,,Salad shop,TRUE,
Grey Bar and Restaurant,-73.9905922,40.7445764,false,4.3,,Bar,TRUE,
Tarallucci e Vino,-73.990605,40.738201,false,4.3,,Italian restaurant,TRUE,TRUE
Dirt Candy,-73.9906694,40.7178518,false,4.6,,Vegetarian restaurant,TRUE,
Friedman's Herald Square,-73.990714,40.748267,false,4.4,,American restaurant,TRUE,
Italian Restaurant Hell's Kitchen NYC - Crispin's Restaurant,-73.990798,40.765758,false,4.4,,Italian restaurant,TRUE,
Pennsylvania 6 NYC,-73.9908333,40.7483333,false,4.2,,New American restaurant,TRUE,
Blue Ribbon Fried Chicken,-73.9909906,40.7244986,false,4.2,,Chicken restaurant,TRUE,
Totto Ramen Hell's Kitchen,-73.9909951,40.7650077,false,4.4,,Ramen restaurant,TRUE,TRUE
Chopt Creative Salad Co.,-73.9910061,40.7372876,false,4.2,,Salad shop,TRUE,
VERSA,-73.9910187,40.7517804,false,4.1,,Bar,TRUE,TRUE
Empanada Mama,-73.991031,40.718769,false,4.4,,Colombian restaurant,TRUE,
3 Times,-73.9910491,40.7328629,false,4.2,,Asian restaurant,TRUE,
Shabu Shabu Macoron,-73.9910558,40.7191889,false,4.7,,Japanese restaurant,TRUE,
Lillie's Victorian Establishment,-73.9911216,40.7376883,false,4.3,,Cocktail bar,TRUE,
Potbelly Sandwich Shop,-73.9911307,40.7373536,false,4.1,,Sandwich shop,TRUE,
Black Iron Burger,-73.9912305,40.754657,false,4.5,,Hamburger restaurant,TRUE,
Nizza,-73.9912338,40.759987,false,4.3,,Italian restaurant,TRUE,
