title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine in,Outdoor Seating
Feroce Ristorante,-73.9909496,40.7464038,true,4.3,177,Italian restaurant,,
Dig,-73.9914049,40.7490725,true,5,,American restaurant,TRUE,
Piggyback,-73.9916272,40.7479602,true,4.6,,Asian fusion restaurant,TRUE,
Nathan's Famous,-73.992168,40.7499718,true,3.1,,Hot dog restaurant,,
Potbelly Sandwich Shop,-73.9928922,40.7475192,true,4.2,,Sandwich shop,TRUE,
Floret,-73.9929163,40.7219041,true,4.3,,Mediterranean restaurant,TRUE,TRUE
Theatre Row,-73.9933176,40.7585671,true,4.5,,Performing arts theater,,
The Sheen Center for Thought & Culture,-73.9933999,40.725464,true,4.6,,Performing arts theater,,
Gotham,-73.9936942,40.734199,true,4.5,1168,New American restaurant,,
ACME,-73.9940625,40.7272181,true,4.1,,New American restaurant,,
Randolph Beer NOLITA,-73.9949351,40.7196164,true,4.3,453,Gastropub,,
Jisu,-73.9951758,40.7161006,true,4.5,,Vegetarian restaurant,TRUE,
The Terrace,-73.9955556,40.7591667,true,4.4,,Japanese restaurant,TRUE,
PRINT.,-73.9959347,40.7645778,true,4.4,,New American restaurant,TRUE,
Taco Dumbo,-73.9968049,40.7219127,true,4.2,,Mexican restaurant,TRUE,
Seamore's Nolita,-73.99691,40.7206673,true,4.3,590,Seafood restaurant,,
Burger & Barrel,-73.9979265,40.7256816,true,4.3,,Hamburger restaurant,TRUE,
Rocky's Pizza Bar & Restaurant,-73.9988889,40.7541667,true,3.9,411,Pizza restaurant,,
Checkers,-73.9996865,40.711165,true,4.3,,Fast food restaurant,TRUE,TRUE
Le Coucou,-74.0001861,40.7191167,true,4.6,,Modern European restaurant,TRUE,
Kuro-Obi Ramen by Ippudo,-74.000872,40.718944,true,4.1,96,Ramen restaurant,,
Fishbone,-74.0009008,40.7424753,true,4.5,,Cocktail bar,TRUE,
El Quinto Pino,-74.0011974,40.7474124,true,4.3,,Spanish restaurant,TRUE,
Salinas,-74.0029917,40.7436444,true,4.4,,Spanish restaurant,TRUE,
Blue Ribbon Downing Street Bar,-74.0039231,40.729421,true,4.7,,Wine bar,,
A.O.C. L'aile ou la Cuisse,-74.0040534,40.7327893,true,4.2,,French restaurant,,
Daddy-O,-74.0041906,40.7303837,true,4,,Bar,TRUE,
Houston Hall,-74.004745,40.728695,true,4.1,,Beer hall,TRUE,TRUE
Dante's Gourmet Foods,-74.005685,40.710198,true,4,,Sandwich shop,TRUE,
Matryoshka,-74.0059012,40.7091074,true,4.1,,Russian restaurant,,
Vietspot Tribeca,-74.006976,40.7164419,true,4.2,,Vietnamese restaurant,TRUE,
Roti Modern Mediterranean,-74.0071815,40.7068128,true,4.3,,Mediterranean restaurant,TRUE,TRUE
Hank's Juicy Beef,-74.0072147,40.7143487,true,4.5,,Sandwich shop,TRUE,
Hearth on the High Line,-74.0074345,40.7428831,true,4,,Wine bar,TRUE,
Jim Brady's,-74.0075839,40.7076363,true,4.3,,Irish pub,TRUE,
Blue Ribbon Federal Grill,-74.0077109,40.7079853,true,4.4,,American restaurant,TRUE,
Andaz Kitchen & Bar,-74.008024,40.7051691,true,4.3,,Restaurant,,
Financier Patisserie,-74.0083769,40.7074215,true,4.1,,Patisserie,TRUE,
B & Co,-74.008532,40.712796,true,3.6,,Sandwich shop,TRUE,
&pizza - Wall Street,-74.0085474,40.7057647,true,4.6,,Pizza restaurant,TRUE,
Little Park,-74.009131,40.7152206,true,4.4,,American restaurant,TRUE,
Schnippers,-74.0092143,40.7136214,true,4.2,,Fast food restaurant,TRUE,
Joseph's Restaurant,-74.0095927,40.7048499,true,4.5,184,Northern Italian restaurant,,
Il Mulino New York - Tribeca,-74.010062,40.719033,true,4.2,,Italian restaurant,TRUE,
Church & Dey,-74.0103057,40.7111618,true,3.8,,Bar,TRUE,
Reverendo Taco & Tequila Bar,-74.0103936,40.704461,true,4.1,,Restaurant,TRUE,
Bluestone Lane Coffee Shop - Financial District,-74.0116277,40.7062784,true,4.4,,Coffee shop,TRUE,
Cappone¡¯s Salumeria,-74.0118801,40.7020841,true,4.1,,Italian restaurant,TRUE,
Chopt Creative Salad Co.,-74.0118801,40.7020841,true,4,,Salad shop,TRUE,
Sophie's Cuban Cuisine,-74.0125389,40.705587,true,4,323,Cuban restaurant,,
Blarney Stone,-74.0138025,40.7063433,true,3.9,,Gastropub,TRUE,
Parm,-74.0161101,40.7144287,true,4,,Italian restaurant,TRUE,
